temp	ri	anneal
67.43	1.51918	post
67.58	1.51913	post
67.55	1.51914	post
67.72	1.51907	post
67.9	1.51901	post
67.95	1.51899	post
67.61	1.51912	post
67.52	1.51915	post
67.54	1.51914	post
67.37	1.5192	post
67.23	1.51925	post
67.48	1.51916	post
67.84	1.51903	post
67.51	1.51915	post
67.33	1.51922	post
67.61	1.51912	post
67.36	1.51921	post
67.64	1.5191	post
67.92	1.519	post
67.21	1.51926	post
67.33	1.51922	post
67.5	1.51916	post
67.47	1.51917	post
67.63	1.51911	post
67.48	1.51916	post
67.42	1.51919	post
67.48	1.51916	post
67.42	1.51919	post
67.35	1.51921	post
67.14	1.51929	post
67.5	1.51916	post
67.44	1.51918	post
67.62	1.51911	post
67.42	1.51919	post
67.5	1.51916	post
67.57	1.51913	post
67.6	1.51912	post
67.42	1.51919	post
67.38	1.5192	post
67.46	1.51917	post
67.58	1.51913	post
67.53	1.51914	post
67.45	1.51917	post
67.4	1.51919	post
67.34	1.51921	post
67.43	1.51918	post
67.46	1.51917	post
67.14	1.51929	post
67.5	1.51916	post
67.58	1.51913	post
67.54	1.51914	post
67.53	1.51914	post
66.82	1.51941	post
67.86	1.51902	post
67.5	1.51916	post
67.42	1.51919	post
67.48	1.51916	post
67.56	1.51913	post
67.65	1.5191	post
67.76	1.51906	post
67.48	1.51916	post
67.54	1.51914	post
67.39	1.5192	post
67.69	1.51909	post
67.57	1.51913	post
67.36	1.51921	post
67.47	1.51917	post
67.61	1.51912	post
67.49	1.51916	post
67.55	1.51914	post
67.51	1.51915	post
67.61	1.51912	post
67.68	1.51909	post
67.74	1.51907	post
67.6	1.51912	post
67.32	1.51922	post
67.36	1.51921	post
67.54	1.51914	post
66.66	1.51946	post
67.28	1.51924	post
67.22	1.51926	post
67.47	1.51917	post
67.15	1.51928	post
67.75	1.51906	post
67.28	1.51924	post
67.6	1.51912	post
67.49	1.51916	post
67.41	1.51919	post
67.46	1.51917	post
67.44	1.51918	post
67.54	1.51914	post
67.5	1.51916	post
67.61	1.51912	post
67.57	1.51913	post
67.84	1.51903	post
67.5	1.51916	post
67.56	1.51913	post
67.61	1.51912	post
67.52	1.51915	post
67.38	1.5192	post
67.64	1.5191	post
67.68	1.51909	post
67.48	1.51916	post
67.56	1.51913	post
67.51	1.51915	post
67.34	1.51921	post
67.4	1.51919	post
67.51	1.51915	post
67.28	1.51924	post
67.39	1.5192	post
67.24	1.51925	post
