person	sample	ab.sample	time	amylase	quant	amp.volume	dna.conc	gel.profile	failed.profile	d3	vwa	d16	d2	amelogenin	d8	d21	d18	d19	th01	fga
D	WATER	W	48	3	0.2	2.5	0.5	FULL	F	1950	1031	594	460	1051	895	485	465	1329	601	519
D	WATER	W	24	3	0.04	12.5	0.5	FULL	F	5084	2855	1486	1309	4109	2956	1533	1214	3157	1713	1374
D	COKE.CAN	CC	48	3	0.04	12.5	0.5	FULL	F	6642	4164	2556	2304	6010	3835	2235	1565	4291	2575	2015
D	COKE.CAN	CC	24	3	0.01	20	0.2	FULL	F	9344	5851	4163	3811	8448	5684	2800	1871	6391	3812	2025
D	COKE.BOTTLE	CB	48	3	0.04	12.5	0.5	FULL	F	1025	575	424	409	494	475	364	382	557	326	299
D	COKE.BOTTLE	CB	24	2	0.04	12.5	0.5	FULL	F	3897	2590	2070	1994	2838	1778	1865	1492	2033	1836	1579
D	MILK	M	48	3	0.04	12.5	0.5	FULL	F	3471	1945	1408	1508	2547	1832	1333	1002	1930	1580	1029
D	MILK	M	24	3	0.02	20	0.4	FULL	F	10727	8282	2647	2120	9754	10242	3698	957	6275	6702	1804
D	OJ	OJ	48	3	0.2	2.5	0.5	FULL	F	1269	700	740	688	921	606	550	606	786	589	434
D	OJ	OJ	24	3	0.2	2.5	0.5	FULL	F	2412	1535	1557	1669	1672	1236	957	1235	1412	1183	975
D	BEER.CAN	BC	48	3	0.04	12.5	0.5	FULL	F	574	333	140	137	535	364	171	148	320	149	105
D	BEER.CAN	BC	24	3	0.2	2.5	0.5	FULL	F	692	432	323	206	589	516	347	236	482	188	157
D	BEER.BOTTLE	BB	48	3	0.02	20	0.4	FULL	F	2603	1822	1393	1169	2542	1937	1314	854	1571	1011	803
D	BEER.BOTTLE	BB	24	3	0.01	20	0.2	FULL	F	3087	1916	1666	1358	2622	1999	1446	1170	1823	1140	1087
D	STOLICHNAYA	S	48	0	0.004	20	0.08	FULL	F	444	460	351	126	487	546	289	131	415	237	143
D	STOLICHNAYA	S	24	1	0.01	20	0.2	FULL	F	1294	877	679	534	782	859	681	578	614	501	468
D	MIXED.SPIRIT	MS	48	0	0.01	20	0.2	PARTIAL	F	318	276	191	0	133	543	133	0	317	131	0
D	MIXED.SPIRIT	MS	24	2	0.02	20	0.4	FULL	F	1226	681	496	298	1072	912	481	320	732	356	249
D	REF	R	0	3	0.4	1	0.4	FULL	F	13653	8686	5203	4421	12580	10530	5847	2847	6776	4997	3391
E	WATER	W	48	1	0.04	12.5	0.5	FULL	F	1244	785	741	643	1034	620	567	481	903	567	382
E	WATER	W	24	2	0.004	20	0.08	FULL	F	1166	695	539	453	1067	647	420	382	846	527	316
E	COKE.CAN	CC	48	3	0.2	2.5	0.5	FULL	F	825	395	410	315	642	316	262	371	647	321	293
E	COKE.CAN	CC	24	2	0.02	20	0.4	FULL	F	1854	1388	1027	930	1694	776	770	787	1481	942	769
E	COKE.BOTTLE	CB	48	1.5	0.2	2.5	0.5	PARTIAL	F	316	239	142	122	294	159	151	132	289	0	0
E	COKE.BOTTLE	CB	24	1.5	0.02	20	0.4	FULL	F	1986	1193	826	809	1426	1014	1003	766	1310	936	623
E	MILK	M	48	3	0.04	12.5	0.5	FULL	F	4583	2967	1869	1643	4037	2711	2020	1933	3321	2164	1587
E	MILK	M	24	2	0.02	20	0.4	FULL	F	3033	1704	1136	1261	2174	1349	1059	1009	1825	1169	780
E	OJ	OJ	48	1.5	0.1	5	0.5	PARTIAL	F	397	209	150	165	254	122	131	140	220	0	0
E	OJ	OJ	24	1.5	0.1	5	0.5	FULL	F	918	552	422	367	876	527	449	357	740	412	313
E	BEER.CAN	BC	48	2.5	0.2	2.5	0.5	FULL	F	281	182	144	143	285	207	176	107	199	131	112
E	BEER.CAN	BC	24	2	0.2	2.5	0.5	PARTIAL	T	180	131	0	0	171	95	0	61	115	0	0
E	BEER.BOTTLE	BB	48	2	0.01	20	0.2	FULL	F	1269	833	788	547	1322	918	711	543	905	505	422
E	BEER.BOTTLE	BB	24	1	0	0	0	N.R	T	0	0	0	0	0	0	0	0	0	0	0
E	STOLICHNAYA	S	48	0	0.01	20	0.2	FULL	F	1012	660	344	285	1037	640	370	238	776	355	247
E	STOLICHNAYA	S	24	0	0.01	20	0.2	PARTIAL	F	341	243	201	177	416	217	139	152	235	137	0
E	MIXED.SPIRIT	MS	48	2	0.01	20	0.2	FULL	F	504	462	368	189	426	403	296	218	478	206	142
E	MIXED.SPIRIT	MS	24	2	0.01	20	0.2	PARTIAL	T	91	185	0	0	124	203	0	0	120	0	0
E	REF	R	0	3	0.4	1	0.4	FULL	F	7244	6093	5380	4771	5831	5184	4654	3711	6075	3518	2781
F	WATER	W	48	2	0.04	12.5	0.5	FULL	F	1944	1035	636	719	1572	984	726	594	1491	750	613
F	WATER	W	24	2	0.02	20	0.4	MIXTURE	T	0	0	0	0	0	0	0	0	0	0	0
F	COKE.CAN	CC	48	1	0.1	5	0.5	FULL	F	873	683	540	608	646	413	386	426	707	448	333
F	COKE.CAN	CC	24	3	0.004	20	0.08	FULL	F	1334	765	610	518	941	613	543	412	924	566	461
F	COKE.BOTTLE	CB	48	2	0.04	12.5	0.5	FULL	F	1060	671	313	233	1032	575	417	413	711	304	382
F	COKE.BOTTLE	CB	24	1	0.004	20	0.08	PARTIAL	F	405	272	136	149	330	252	166	0	285	192	141
F	MILK	M	48	1.5	0.01	20	0.2	FULL	F	1152	405	287	276	653	426	301	253	486	443	279
F	MILK	M	24	1.5	0.04	12.5	0.5	FULL	F	1824	846	662	642	1242	904	580	440	1057	677	463
F	OJ	OJ	48	0	0.01	20	0.2	N.R	T	0	0	0	0	0	0	0	0	0	0	0
F	OJ	OJ	24	1	0.04	12.5	0.5	FULL	F	1374	939	778	571	994	724	692	468	783	600	535
F	BEER.CAN	BC	48	1.5	0.1	5	0.5	FULL	F	464	307	147	198	338	329	221	177	241	188	155
F	BEER.CAN	BC	24	2	0.02	20	0.4	FULL	F	470	241	153	158	392	305	208	165	402	153	154
F	BEER.BOTTLE	BB	48	1	0	0	0	N.R	T	0	0	0	0	0	0	0	0	0	0	0
F	BEER.BOTTLE	BB	24	2	0.01	20	0.2	FULL	F	498	287	185	153	389	250	200	169	293	173	109
F	STOLICHNAYA	S	48	0	0.01	20	0.2	PARTIAL	T	189	92	0	0	0	0	0	0	0	0	0
F	STOLICHNAYA	S	24	0	0.004	20	0.08	PARTIAL	F	313	275	146	137	231	179	169	0	202	0	0
F	MIXED.SPIRIT	MS	48	0	0.004	20	0.08	FULL	F	1596	1032	715	749	594	1118	673	516	1046	609	456
F	MIXED.SPIRIT	MS	24	0	0.01	20	0.2	PARTIAL	T	193	86	0	0	0	0	0	0	183	0	0
F	REF	R	48	3	0.4	1	0.4	FULL	F	12919	6734	6648	5599	10057	11260	6853	3305	12282	5730	3635
